area_type,availability,size,site_location,society,total_sqft,bath,balcony,price
Super built-up  Area,19-Dec,2 BHK,Alandi Road,Coomee ,1056,2,1,39.07
Plot  Area,Ready To Move,4 Bedroom,Ambegaon Budruk,Theanmp,2600,5,3,120
Built-up  Area,Ready To Move,3 BHK,Anandnagar,,1440,2,3,62
Super built-up  Area,Ready To Move,3 BHK,Aundh,Soiewre,1521,3,1,95
Super built-up  Area,Ready To Move,2 BHK,Aundh Road,,1200,2,1,51
Super built-up  Area,Ready To Move,2 BHK,Balaji Nagar,DuenaTa,1170,2,1,38
Super built-up  Area,18-May,4 BHK,Baner,Jaades ,2732,4,,204
Super built-up  Area,Ready To Move,4 BHK,Baner road,Brway G,3300,4,,600
Super built-up  Area,Ready To Move,3 BHK,Bhandarkar Road,,1310,3,1,63.25
Plot  Area,Ready To Move,6 Bedroom,Bhavani Peth,,1020,6,,370
Super built-up  Area,18-Feb,3 BHK,Bibvewadi,,1800,2,2,70
Plot  Area,Ready To Move,4 Bedroom,Bopodi,Prrry M,2785,5,3,295
Super built-up  Area,Ready To Move,2 BHK,Budhwar Peth,Shncyes,1000,2,1,38
Built-up  Area,Ready To Move,2 BHK,Bund Garden Road,,1100,2,2,40
Plot  Area,Ready To Move,3 Bedroom,Camp,Skityer,2250,3,2,148
Super built-up  Area,Ready To Move,2 BHK,Chandan Nagar,PrntaEn,1175,2,2,73.5
Super built-up  Area,Ready To Move,3 BHK,Dapodi,Prityel,1180,3,2,48
Super built-up  Area,Ready To Move,3 BHK,Deccan Gymkhana,GrrvaGr,1540,3,3,60
Super built-up  Area,Ready To Move,3 BHK,Dehu Road,PeBayle,2770,4,2,290
Super built-up  Area,Ready To Move,2 BHK,Dhankawadi,,1100,2,2,48
Built-up  Area,Ready To Move,1 BHK,Dhayari Phata,,600,1,1,15
Super built-up  Area,19-Dec,3 BHK,Dhole Patil Road,She 2rk,1755,3,1,122
Plot  Area,Ready To Move,4 Bedroom,Erandwane,Soitya ,2800,5,2,380
Super built-up  Area,Ready To Move,3 BHK,Fatima Nagar,,1767,3,1,103
Super built-up  Area,18-Nov,1 RK,Fergusson College Road,Bhe 2ko,510,1,0,25.25
Super built-up  Area,18-May,3 BHK,Ganesh Peth,,1250,3,2,56
Super built-up  Area,Ready To Move,2 BHK,Ganeshkhind,Itelaa ,660,1,1,23.1
Built-up  Area,20-Dec,3 BHK,Ghorpade Peth,,1610,3,2,81
Super built-up  Area,17-Oct,2 BHK,other,ViistLa,1151,2,2,48.77
Super built-up  Area,Ready To Move,3 BHK,Gokhale Nagar,KBityo ,1025,2,1,47
Super built-up  Area,19-Dec,4 BHK,Gultekdi,LedorSa,2100 - 2850,4,0,186
Super built-up  Area,Ready To Move,3 BHK,Guruwar peth,Prityel,1075,2,1,35
Super built-up  Area,Ready To Move,3 BHK,Hadapsar,Mahosya,1760,2,2,123
Super built-up  Area,Ready To Move,3 BHK,Hadapsar Industrial Estate,GrrvaGr,1693,3,3,57.39
Built-up  Area,Ready To Move,3 BHK,Hingne Khurd,Kantsce,1925,3,,125
